emb_type,p,task_type,task,top1-acc
ica,1,analogy,capital-common-countries,0.22134387351778656
ica,2,analogy,capital-common-countries,0.30237154150197626
ica,5,analogy,capital-common-countries,0.5098814229249012
ica,10,analogy,capital-common-countries,0.6225296442687747
ica,20,analogy,capital-common-countries,0.8142292490118577
ica,50,analogy,capital-common-countries,0.9426877470355731
ica,100,analogy,capital-common-countries,0.9446640316205533
ica,200,analogy,capital-common-countries,0.9426877470355731
ica,300,analogy,capital-common-countries,0.9486166007905138
ica,1,analogy,capital-world,0.04774535809018567
ica,2,analogy,capital-world,0.07051282051282051
ica,5,analogy,capital-world,0.14633068081343945
ica,10,analogy,capital-world,0.28669319186560566
ica,20,analogy,capital-world,0.6421308576480991
ica,50,analogy,capital-world,0.8974358974358975
ica,100,analogy,capital-world,0.9347922192749779
ica,200,analogy,capital-world,0.9454022988505747
ica,300,analogy,capital-world,0.9533598585322723
ica,1,analogy,city-in-state,0.0
ica,2,analogy,city-in-state,0.11268747466558574
ica,5,analogy,city-in-state,0.13376570733684637
ica,10,analogy,city-in-state,0.21402513173895418
ica,20,analogy,city-in-state,0.363599513579246
ica,50,analogy,city-in-state,0.5464126469396028
ica,100,analogy,city-in-state,0.5995135792460479
ica,200,analogy,city-in-state,0.6128901499797325
ica,300,analogy,city-in-state,0.674098094852047
ica,1,analogy,currency,0.0
ica,2,analogy,currency,0.0
ica,5,analogy,currency,0.0011547344110854503
ica,10,analogy,currency,0.025404157043879907
ica,20,analogy,currency,0.05658198614318707
ica,50,analogy,currency,0.10508083140877598
ica,100,analogy,currency,0.12471131639722864
ica,200,analogy,currency,0.13625866050808313
ica,300,analogy,currency,0.11547344110854503
ica,1,analogy,family,0.0
ica,2,analogy,family,0.029644268774703556
ica,5,analogy,family,0.23517786561264822
ica,10,analogy,family,0.3577075098814229
ica,20,analogy,family,0.48221343873517786
ica,50,analogy,family,0.7371541501976284
ica,100,analogy,family,0.8399209486166008
ica,200,analogy,family,0.8814229249011858
ica,300,analogy,family,0.8794466403162056
ica,1,analogy,gram1-adjective-to-adverb,0.0
ica,2,analogy,gram1-adjective-to-adverb,0.0
ica,5,analogy,gram1-adjective-to-adverb,0.0010080645161290322
ica,10,analogy,gram1-adjective-to-adverb,0.023185483870967742
ica,20,analogy,gram1-adjective-to-adverb,0.07963709677419355
ica,50,analogy,gram1-adjective-to-adverb,0.16431451612903225
ica,100,analogy,gram1-adjective-to-adverb,0.19959677419354838
ica,200,analogy,gram1-adjective-to-adverb,0.19959677419354838
ica,300,analogy,gram1-adjective-to-adverb,0.20665322580645162
ica,1,analogy,gram2-opposite,0.0
ica,2,analogy,gram2-opposite,0.0
ica,5,analogy,gram2-opposite,0.0024630541871921183
ica,10,analogy,gram2-opposite,0.017241379310344827
ica,20,analogy,gram2-opposite,0.07758620689655173
ica,50,analogy,gram2-opposite,0.17980295566502463
ica,100,analogy,gram2-opposite,0.23029556650246305
ica,200,analogy,gram2-opposite,0.2512315270935961
ica,300,analogy,gram2-opposite,0.26108374384236455
ica,1,analogy,gram3-comparative,0.0
ica,2,analogy,gram3-comparative,0.033783783783783786
ica,5,analogy,gram3-comparative,0.19144144144144143
ica,10,analogy,gram3-comparative,0.41816816816816815
ica,20,analogy,gram3-comparative,0.6396396396396397
ica,50,analogy,gram3-comparative,0.8183183183183184
ica,100,analogy,gram3-comparative,0.8558558558558559
ica,200,analogy,gram3-comparative,0.8686186186186187
ica,300,analogy,gram3-comparative,0.8783783783783784
ica,1,analogy,gram4-superlative,0.0
ica,2,analogy,gram4-superlative,0.06060606060606061
ica,5,analogy,gram4-superlative,0.15240641711229946
ica,10,analogy,gram4-superlative,0.2816399286987522
