emb_type,p,task_type,task,top1-acc
ica,1,analogy,jj_jjr,0.004
ica,2,analogy,jj_jjr,0.02
ica,5,analogy,jj_jjr,0.134
ica,10,analogy,jj_jjr,0.288
ica,20,analogy,jj_jjr,0.426
ica,50,analogy,jj_jjr,0.564
ica,100,analogy,jj_jjr,0.628
ica,200,analogy,jj_jjr,0.648
ica,300,analogy,jj_jjr,0.658
ica,1,analogy,jj_jjs,0.0
ica,2,analogy,jj_jjs,0.02
ica,5,analogy,jj_jjs,0.106
ica,10,analogy,jj_jjs,0.224
ica,20,analogy,jj_jjs,0.346
ica,50,analogy,jj_jjs,0.486
ica,100,analogy,jj_jjs,0.542
ica,200,analogy,jj_jjs,0.552
ica,300,analogy,jj_jjs,0.514
ica,1,analogy,jjr_jj,0.0
ica,2,analogy,jjr_jj,0.01
ica,5,analogy,jjr_jj,0.03
ica,10,analogy,jjr_jj,0.1
ica,20,analogy,jjr_jj,0.26
ica,50,analogy,jjr_jj,0.464
ica,100,analogy,jjr_jj,0.54
ica,200,analogy,jjr_jj,0.532
ica,300,analogy,jjr_jj,0.544
ica,1,analogy,jjr_jjs,0.0
ica,2,analogy,jjr_jjs,0.028
ica,5,analogy,jjr_jjs,0.084
ica,10,analogy,jjr_jjs,0.202
ica,20,analogy,jjr_jjs,0.332
ica,50,analogy,jjr_jjs,0.486
ica,100,analogy,jjr_jjs,0.562
ica,200,analogy,jjr_jjs,0.576
ica,300,analogy,jjr_jjs,0.546
ica,1,analogy,jjs_jj,0.0
ica,2,analogy,jjs_jj,0.016
ica,5,analogy,jjs_jj,0.05
ica,10,analogy,jjs_jj,0.098
ica,20,analogy,jjs_jj,0.224
ica,50,analogy,jjs_jj,0.356
ica,100,analogy,jjs_jj,0.44
ica,200,analogy,jjs_jj,0.456
ica,300,analogy,jjs_jj,0.476
ica,1,analogy,jjs_jjr,0.008
ica,2,analogy,jjs_jjr,0.032
ica,5,analogy,jjs_jjr,0.136
ica,10,analogy,jjs_jjr,0.29
ica,20,analogy,jjs_jjr,0.426
ica,50,analogy,jjs_jjr,0.59
ica,100,analogy,jjs_jjr,0.632
ica,200,analogy,jjs_jjr,0.64
ica,300,analogy,jjs_jjr,0.628
ica,1,analogy,nn_nnpos,0.018
ica,2,analogy,nn_nnpos,0.048
ica,5,analogy,nn_nnpos,0.126
ica,10,analogy,nn_nnpos,0.22
ica,20,analogy,nn_nnpos,0.296
ica,50,analogy,nn_nnpos,0.352
ica,100,analogy,nn_nnpos,0.392
ica,200,analogy,nn_nnpos,0.402
ica,300,analogy,nn_nnpos,0.422
ica,1,analogy,nn_nns,0.028
ica,2,analogy,nn_nns,0.136
ica,5,analogy,nn_nns,0.24
ica,10,analogy,nn_nns,0.386
ica,20,analogy,nn_nns,0.526
ica,50,analogy,nn_nns,0.632
ica,100,analogy,nn_nns,0.676
ica,200,analogy,nn_nns,0.696
ica,300,analogy,nn_nns,0.738
ica,1,analogy,nnpos_nn,0.058
ica,2,analogy,nnpos_nn,0.114
ica,5,analogy,nnpos_nn,0.212
ica,10,analogy,nnpos_nn,0.294
ica,20,analogy,nnpos_nn,0.356
ica,50,analogy,nnpos_nn,0.414
ica,100,analogy,nnpos_nn,0.424
ica,200,analogy,nnpos_nn,0.42
ica,300,analogy,nnpos_nn,0.452
ica,1,analogy,nns_nn,0.06
ica,2,analogy,nns_nn,0.106
ica,5,analogy,nns_nn,0.236
ica,10,analogy,nns_nn,0.356
ica,20,analogy,nns_nn,0.456
ica,50,analogy,nns_nn,0.548
ica,100,analogy,nns_nn,0.592
ica,200,analogy,nns_nn,0.612
ica,300,analogy,nns_nn,0.636
ica,1,analogy,vb_vbd,0.01
ica,2,analogy,vb_vbd,0.014
ica,5,analogy,vb_vbd,0.104
ica,10,analogy,vb_vbd,0.23
ica,20,analogy,vb_vbd,0.406
ica,50,analogy,vb_vbd,0.526
ica,100,analogy,vb_vbd,0.544
ica,200,analogy,vb_vbd,0.556
ica,300,analogy,vb_vbd,0.582
ica,1,analogy,vb_vbz,0.0
ica,2,analogy,vb_vbz,0.012
ica,5,analogy,vb_vbz,0.16
ica,10,analogy,vb_vbz,0.344
ica,20,analogy,vb_vbz,0.576
ica,50,analogy,vb_vbz,0.718
ica,100,analogy,vb_vbz,0.762
ica,200,analogy,vb_vbz,0.766
ica,300,analogy,vb_vbz,0.764
ica,1,analogy,vbd_vb,0.008
ica,2,analogy,vbd_vb,0.026
ica,5,analogy,vbd_vb,0.088
ica,10,analogy,vbd_vb,0.266
ica,20,analogy,vbd_vb,0.468
ica,50,analogy,vbd_vb,0.638
ica,100,analogy,vbd_vb,0.668
ica,200,analogy,vbd_vb,0.67
ica,300,analogy,vbd_vb,0.688
ica,1,analogy,vbd_vbz,0.0
ica,2,analogy,vbd_vbz,0.012
ica,5,analogy,vbd_vbz,0.106
ica,10,analogy,vbd_vbz,0.29
ica,20,analogy,vbd_vbz,0.488
ica,50,analogy,vbd_vbz,0.598
ica,100,analogy,vbd_vbz,0.63
ica,200,analogy,vbd_vbz,0.636
ica,300,analogy,vbd_vbz,0.634
ica,1,analogy,vbz_vb,0.0
ica,2,analogy,vbz_vb,0.032
ica,5,analogy,vbz_vb,0.092
ica,10,analogy,vbz_vb,0.274
ica,20,analogy,vbz_vb,0.508
ica,50,analogy,vbz_vb,0.746
ica,100,analogy,vbz_vb,0.788
ica,200,analogy,vbz_vb,0.8
ica,300,analogy,vbz_vb,0.818
ica,1,analogy,vbz_vbd,0.002
ica,2,analogy,vbz_vbd,0.0
ica,5,analogy,vbz_vbd,0.052
ica,10,analogy,vbz_vbd,0.142
ica,20,analogy,vbz_vbd,0.33
ica,50,analogy,vbz_vbd,0.512
ica,100,analogy,vbz_vbd,0.558
ica,200,analogy,vbz_vbd,0.558
ica,300,analogy,vbz_vbd,0.548
