emb_type,p,task_type,task,top1-acc
pca,1,analogy,capital-common-countries,0.0
pca,2,analogy,capital-common-countries,0.0
pca,5,analogy,capital-common-countries,0.005928853754940711
pca,10,analogy,capital-common-countries,0.24308300395256918
pca,20,analogy,capital-common-countries,0.7786561264822134
pca,50,analogy,capital-common-countries,0.9308300395256917
pca,100,analogy,capital-common-countries,0.950592885375494
pca,200,analogy,capital-common-countries,0.9486166007905138
pca,300,analogy,capital-common-countries,0.9486166007905138
pca,1,analogy,capital-world,0.007736516357206013
pca,2,analogy,capital-world,0.008841732979664015
pca,5,analogy,capital-world,0.04288240495137047
pca,10,analogy,capital-world,0.20579133510167993
pca,20,analogy,capital-world,0.6450044208664898
pca,50,analogy,capital-world,0.9095932802829354
pca,100,analogy,capital-world,0.9451812555260831
pca,200,analogy,capital-world,0.9507073386383731
pca,300,analogy,capital-world,0.9533598585322723
pca,1,analogy,city-in-state,0.0
pca,2,analogy,city-in-state,0.0
pca,5,analogy,city-in-state,0.0032428050263477908
pca,10,analogy,city-in-state,0.052290231049858124
pca,20,analogy,city-in-state,0.23307661126874746
pca,50,analogy,city-in-state,0.4904742602351034
pca,100,analogy,city-in-state,0.5853263072557763
pca,200,analogy,city-in-state,0.6234292663153628
pca,300,analogy,city-in-state,0.674098094852047
pca,1,analogy,currency,0.0
pca,2,analogy,currency,0.0
pca,5,analogy,currency,0.0
pca,10,analogy,currency,0.0011547344110854503
pca,20,analogy,currency,0.011547344110854504
pca,50,analogy,currency,0.057736720554272515
pca,100,analogy,currency,0.10739030023094688
pca,200,analogy,currency,0.11778290993071594
pca,300,analogy,currency,0.11547344110854503
pca,1,analogy,family,0.0
pca,2,analogy,family,0.0
pca,5,analogy,family,0.005928853754940711
pca,10,analogy,family,0.1442687747035573
pca,20,analogy,family,0.41699604743083
pca,50,analogy,family,0.741106719367589
pca,100,analogy,family,0.8399209486166008
pca,200,analogy,family,0.8616600790513834
pca,300,analogy,family,0.8794466403162056
pca,1,analogy,gram1-adjective-to-adverb,0.0
pca,2,analogy,gram1-adjective-to-adverb,0.0
pca,5,analogy,gram1-adjective-to-adverb,0.0030241935483870967
pca,10,analogy,gram1-adjective-to-adverb,0.019153225806451613
pca,20,analogy,gram1-adjective-to-adverb,0.06149193548387097
pca,50,analogy,gram1-adjective-to-adverb,0.15524193548387097
pca,100,analogy,gram1-adjective-to-adverb,0.18850806451612903
pca,200,analogy,gram1-adjective-to-adverb,0.20161290322580644
pca,300,analogy,gram1-adjective-to-adverb,0.20665322580645162
pca,1,analogy,gram2-opposite,0.0
pca,2,analogy,gram2-opposite,0.0
pca,5,analogy,gram2-opposite,0.003694581280788177
pca,10,analogy,gram2-opposite,0.022167487684729065
pca,20,analogy,gram2-opposite,0.0665024630541872
pca,50,analogy,gram2-opposite,0.1834975369458128
pca,100,analogy,gram2-opposite,0.24014778325123154
pca,200,analogy,gram2-opposite,0.2512315270935961
pca,300,analogy,gram2-opposite,0.26108374384236455
pca,1,analogy,gram3-comparative,0.0
pca,2,analogy,gram3-comparative,0.0
pca,5,analogy,gram3-comparative,0.017267267267267267
pca,10,analogy,gram3-comparative,0.17117117117117117
pca,20,analogy,gram3-comparative,0.5
pca,50,analogy,gram3-comparative,0.7935435435435435
pca,100,analogy,gram3-comparative,0.8408408408408409
pca,200,analogy,gram3-comparative,0.8611111111111112
pca,300,analogy,gram3-comparative,0.8783783783783784
pca,1,analogy,gram4-superlative,0.0
pca,2,analogy,gram4-superlative,0.00089126559714795
pca,5,analogy,gram4-superlative,0.044563279857397504
pca,10,analogy,gram4-superlative,0.14171122994652408
pca,20,analogy,gram4-superlative,0.3342245989304813
pca,50,analogy,gram4-superlative,0.5677361853832442
pca,100,analogy,gram4-superlative,0.6648841354723708
pca,200,analogy,gram4-superlative,0.6880570409982175
pca,300,analogy,gram4-superlative,0.6942959001782532
pca,1,analogy,gram5-present-participle,0.0
pca,2,analogy,gram5-present-participle,0.0
pca,5,analogy,gram5-present-participle,0.005681818181818182
pca,10,analogy,gram5-present-participle,0.07386363636363637
pca,20,analogy,gram5-present-participle,0.3380681818181818
pca,50,analogy,gram5-present-participle,0.6363636363636364
pca,100,analogy,gram5-present-participle,0.6931818181818182
pca,200,analogy,gram5-present-participle,0.6979166666666666
pca,300,analogy,gram5-present-participle,0.6941287878787878
pca,1,analogy,gram6-nationality-adjective,0.01125703564727955
pca,2,analogy,gram6-nationality-adjective,0.0050031269543464665
pca,5,analogy,gram6-nationality-adjective,0.13633520950594122
pca,10,analogy,gram6-nationality-adjective,0.5240775484677924
pca,20,analogy,gram6-nationality-adjective,0.7692307692307693
pca,50,analogy,gram6-nationality-adjective,0.9093183239524703
pca,100,analogy,gram6-nationality-adjective,0.924953095684803
pca,200,analogy,gram6-nationality-adjective,0.9255784865540964
pca,300,analogy,gram6-nationality-adjective,0.9255784865540964
pca,1,analogy,gram7-past-tense,0.000641025641025641
pca,2,analogy,gram7-past-tense,0.001282051282051282
pca,5,analogy,gram7-past-tense,0.03141025641025641
pca,10,analogy,gram7-past-tense,0.09102564102564102
pca,20,analogy,gram7-past-tense,0.2814102564102564
pca,50,analogy,gram7-past-tense,0.5032051282051282
pca,100,analogy,gram7-past-tense,0.5641025641025641
pca,200,analogy,gram7-past-tense,0.5814102564102565
