emb_type,p,task_type,task,top1-acc
pca,1,analogy,jj_jjr,0.0
pca,2,analogy,jj_jjr,0.004
pca,5,analogy,jj_jjr,0.03
pca,10,analogy,jj_jjr,0.14
pca,20,analogy,jj_jjr,0.332
pca,50,analogy,jj_jjr,0.528
pca,100,analogy,jj_jjr,0.598
pca,200,analogy,jj_jjr,0.624
pca,300,analogy,jj_jjr,0.658
pca,1,analogy,jj_jjs,0.0
pca,2,analogy,jj_jjs,0.002
pca,5,analogy,jj_jjs,0.03
pca,10,analogy,jj_jjs,0.096
pca,20,analogy,jj_jjs,0.228
pca,50,analogy,jj_jjs,0.414
pca,100,analogy,jj_jjs,0.488
pca,200,analogy,jj_jjs,0.5
pca,300,analogy,jj_jjs,0.514
pca,1,analogy,jjr_jj,0.0
pca,2,analogy,jjr_jj,0.002
pca,5,analogy,jjr_jj,0.012
pca,10,analogy,jjr_jj,0.054
pca,20,analogy,jjr_jj,0.202
pca,50,analogy,jjr_jj,0.45
pca,100,analogy,jjr_jj,0.528
pca,200,analogy,jjr_jj,0.538
pca,300,analogy,jjr_jj,0.544
pca,1,analogy,jjr_jjs,0.0
pca,2,analogy,jjr_jjs,0.004
pca,5,analogy,jjr_jjs,0.032
pca,10,analogy,jjr_jjs,0.086
pca,20,analogy,jjr_jjs,0.19
pca,50,analogy,jjr_jjs,0.38
pca,100,analogy,jjr_jjs,0.492
pca,200,analogy,jjr_jjs,0.53
pca,300,analogy,jjr_jjs,0.546
pca,1,analogy,jjs_jj,0.0
pca,2,analogy,jjs_jj,0.0
pca,5,analogy,jjs_jj,0.018
pca,10,analogy,jjs_jj,0.052
pca,20,analogy,jjs_jj,0.152
pca,50,analogy,jjs_jj,0.358
pca,100,analogy,jjs_jj,0.43
pca,200,analogy,jjs_jj,0.472
pca,300,analogy,jjs_jj,0.476
pca,1,analogy,jjs_jjr,0.0
pca,2,analogy,jjs_jjr,0.002
pca,5,analogy,jjs_jjr,0.014
pca,10,analogy,jjs_jjr,0.086
pca,20,analogy,jjs_jjr,0.314
pca,50,analogy,jjs_jjr,0.546
pca,100,analogy,jjs_jjr,0.602
pca,200,analogy,jjs_jjr,0.62
pca,300,analogy,jjs_jjr,0.628
pca,1,analogy,nn_nnpos,0.0
pca,2,analogy,nn_nnpos,0.0
pca,5,analogy,nn_nnpos,0.004
pca,10,analogy,nn_nnpos,0.058
pca,20,analogy,nn_nnpos,0.214
pca,50,analogy,nn_nnpos,0.354
pca,100,analogy,nn_nnpos,0.394
pca,200,analogy,nn_nnpos,0.41
pca,300,analogy,nn_nnpos,0.422
pca,1,analogy,nn_nns,0.0
pca,2,analogy,nn_nns,0.0
pca,5,analogy,nn_nns,0.004
pca,10,analogy,nn_nns,0.096
