emb_type,p,task_type,task,spearman
pca,1,similarity,MEN,0.11497091932108117
pca,1,similarity,WS353,-0.01625005234817823
pca,1,similarity,WS353R,0.038488404806626166
pca,1,similarity,WS353S,0.009262281152679325
pca,1,similarity,SimLex999,0.0012867846262379279
pca,1,similarity,RW,0.0826612637407294
pca,1,similarity,RG65,0.4152724829122951
pca,1,similarity,MTurk,0.2154843940392086
ica,1,similarity,MEN,0.4496746778809592
ica,1,similarity,WS353,0.19283795127920872
ica,1,similarity,WS353R,0.16244333633293892
ica,1,similarity,WS353S,0.3077038395633966
ica,1,similarity,SimLex999,0.09744324214795651
ica,1,similarity,RW,0.1294207711808223
ica,1,similarity,RG65,0.42036476692464
ica,1,similarity,MTurk,0.41837405755947177
pca,2,similarity,MEN,0.1669281733234791
pca,2,similarity,WS353,-0.0031684113450375848
pca,2,similarity,WS353R,0.04903076434650085
pca,2,similarity,WS353S,0.015458892852361558
pca,2,similarity,SimLex999,0.015793281382403705
pca,2,similarity,RW,0.10623920134919805
pca,2,similarity,RG65,0.4193812785960755
pca,2,similarity,MTurk,0.22904088182727042
ica,2,similarity,MEN,0.5190071139394375
ica,2,similarity,WS353,0.3355658965116793
ica,2,similarity,WS353R,0.3274841117850045
ica,2,similarity,WS353S,0.4414987209549612
ica,2,similarity,SimLex999,0.13611948012147973
ica,2,similarity,RW,0.15752361955927477
ica,2,similarity,RG65,0.460906341357686
ica,2,similarity,MTurk,0.5170489826953668
pca,5,similarity,MEN,0.3149639296652967
pca,5,similarity,WS353,0.1247227341811776
pca,5,similarity,WS353R,0.14587221842475873
pca,5,similarity,WS353S,0.17279429969500518
pca,5,similarity,SimLex999,0.11163473116298242
pca,5,similarity,RW,0.14818434602770797
pca,5,similarity,RG65,0.5338156094485978
pca,5,similarity,MTurk,0.36277971542337484
ica,5,similarity,MEN,0.5863716916431786
ica,5,similarity,WS353,0.4523898708977832
ica,5,similarity,WS353R,0.4355698245054113
ica,5,similarity,WS353S,0.5620468116450869
ica,5,similarity,SimLex999,0.20780060106280587
ica,5,similarity,RW,0.19540615121943228
ica,5,similarity,RG65,0.5727836025559407
ica,5,similarity,MTurk,0.5808303184862748
pca,10,similarity,MEN,0.4502433284694684
pca,10,similarity,WS353,0.2454820725670376
pca,10,similarity,WS353R,0.2215637128015815
pca,10,similarity,WS353S,0.3415840059047312
pca,10,similarity,SimLex999,0.19486701258916223
pca,10,similarity,RW,0.184317608089251
pca,10,similarity,RG65,0.6110740814813838
pca,10,similarity,MTurk,0.4866243029518742
ica,10,similarity,MEN,0.6260000916257983
ica,10,similarity,WS353,0.48918709298479196
ica,10,similarity,WS353R,0.464430550787119
ica,10,similarity,WS353S,0.5982373479695997
ica,10,similarity,SimLex999,0.25485451152741334
ica,10,similarity,RW,0.22399677559363115
ica,10,similarity,RG65,0.6355520132145436
ica,10,similarity,MTurk,0.6101830792676458
pca,20,similarity,MEN,0.5730789587878119
pca,20,similarity,WS353,0.3701886424281469
pca,20,similarity,WS353R,0.32021053235924674
pca,20,similarity,WS353S,0.4886098977618982
pca,20,similarity,SimLex999,0.2739632037978689
pca,20,similarity,RW,0.22405309569755147
pca,20,similarity,RG65,0.6708920271542931
pca,20,similarity,MTurk,0.5889830452550127
ica,20,similarity,MEN,0.6666586728341815
ica,20,similarity,WS353,0.5162521667207921
ica,20,similarity,WS353R,0.4816034571884349
ica,20,similarity,WS353S,0.6299620775523346
ica,20,similarity,SimLex999,0.29804355149580847
ica,20,similarity,RW,0.25682721409913095
ica,20,similarity,RG65,0.6944738917436498
ica,20,similarity,MTurk,0.6310513590573349
pca,50,similarity,MEN,0.688619327599047
pca,50,similarity,WS353,0.4943516273485619
pca,50,similarity,WS353R,0.4269426896527251
pca,50,similarity,WS353S,0.6217764388537844
pca,50,similarity,SimLex999,0.3493801782521516
pca,50,similarity,RW,0.2726585440297966
pca,50,similarity,RG65,0.7116740098454326
pca,50,similarity,MTurk,0.644348941483956
ica,50,similarity,MEN,0.7153211702059699
ica,50,similarity,WS353,0.5488028786977
ica,50,similarity,WS353R,0.4922954202228649
ica,50,similarity,WS353S,0.6731984891779215
ica,50,similarity,SimLex999,0.3473317763672862
ica,50,similarity,RW,0.2982728422963398
ica,50,similarity,RG65,0.7583787778041493
ica,50,similarity,MTurk,0.6518236915660196
pca,100,similarity,MEN,0.732358223031524
pca,100,similarity,WS353,0.5425747729957636
pca,100,similarity,WS353R,0.4841463416497726
pca,100,similarity,WS353S,0.6579074406521863
pca,100,similarity,SimLex999,0.37586280677186334
pca,100,similarity,RW,0.29874946607865926
pca,100,similarity,RG65,0.7399766184118987
pca,100,similarity,MTurk,0.6550216804373833
ica,100,similarity,MEN,0.7401382593459449
ica,100,similarity,WS353,0.5608673270025327
ica,100,similarity,WS353R,0.4905451718203989
ica,100,similarity,WS353S,0.6957929177622472
ica,100,similarity,SimLex999,0.37245316076708834
ica,100,similarity,RW,0.32376774627795935
ica,100,similarity,RG65,0.790134523168686
ica,100,similarity,MTurk,0.6608851253876572
pca,200,similarity,MEN,0.745284451199281
pca,200,similarity,WS353,0.5558149198210088
pca,200,similarity,WS353R,0.4970118672354225
pca,200,similarity,WS353S,0.6707346205370592
pca,200,similarity,SimLex999,0.38650207391914604
pca,200,similarity,RW,0.3079106906723565
pca,200,similarity,RG65,0.7455497189404307
pca,200,similarity,MTurk,0.6535619110906723
ica,200,similarity,MEN,0.749286488526514
ica,200,similarity,WS353,0.5659433327272788
ica,200,similarity,WS353R,0.49473519450625086
ica,200,similarity,WS353S,0.7019945504460593
ica,200,similarity,SimLex999,0.384430369778512
ica,200,similarity,RW,0.33344440849243306
ica,200,similarity,RG65,0.7923637633800988
ica,200,similarity,MTurk,0.6573096931119187
pca,300,similarity,MEN,0.7543659294132922
pca,300,similarity,WS353,0.5737761393683185
pca,300,similarity,WS353R,0.5128173452040492
pca,300,similarity,WS353S,0.6940441807181652
pca,300,similarity,SimLex999,0.3970593498648298
pca,300,similarity,RW,0.34339828164685
pca,300,similarity,RG65,0.7847362650096767
